GABEL,GH,NABEL,NH,e1,e2
3.00304166,37.52,47.71599052,685.15,,
4.661213866,43.01,47.10889912,832.86,,
4.370627328,39.36,38.62919774,513.83,,
4.373260513,41.41,80.03789519,259.819,,
6.348646643,44.95,99.17688574,245.759,,
4.892852247,47.45,74.02406,212.481,,
5.894639864,26.82,52.54982792,584.21,,
7.660211514,49.68,49.6249861,576.3,,
5.864235029,32.78,60.11244857,649.46,,
6.610175906,39.33,43.34054724,557.98,,
4.856209198,32.39,127.5616377,534.21,,
5.02939447,37.33,60.34946843,486.715,,
5.434538087,42.72,54.51312708,231.867,,
4.566987985,50.18,181.9668367,262.21,,
2.38398865,35.03,36.2014088,210.738,,
4.212486983,18.46,57.54243146,678.08,,
4.52640362,23.67,50.1501898,556.08,,
3.783623721,36.12,184.1860943,924.1,,
3.648608045,30.52,44.47232362,558.79,,
3.942053444,35.67,45.4434306,575.09,,
6.589446702,42.22,101.719741,276.722,,
5.979419262,56.72,50.49319849,206.21,,
7.609893528,45.2,153.252582,1612.49,,
5.974472839,47.05,52.06911119,239.7,,
4.345726947,40.19,57.63055875,428.35,,
4.444844708,56.23,68.26068352,245.98,,
5.858091468,36.49,47.60816666,688.19,,
4.381222831,32.86,49.7074318,681,,
2.466539993,42.83,44.38460524,300.409,,
3.67762013,34.34,37.13418394,166.82,,
4.20725548,33.73,47.0187117,221.67,,
4.239755863,40.38,43.30879897,608.599,,
3.370005225,37.48,83.94222142,328.37,,
4.636759115,21.99,76.9916798,427.8,,
4.267877772,52.1,68.63802638,282.83,,
4.617513844,37.37,45.29034207,223.609,,
5.327300696,45.75,20.99662805,113.02,,
4.967732667,49.96,23.10576152,90.24,,
4.261229588,42.28,85.63670678,443.83,,
4.07748726,35.45,98.14370525,832.06,,
3.698359424,24.27,164.1597566,717.09,,
2.413489326,46.08,77.15139219,202.71,,
5.792442748,41.73,115.4137168,390.94,,
5.027157037,21.52,117.8098943,242.093,,
2.594933734,42.4,132.8557036,467.59,,
3.716434406,28.14,94.99030008,123.68,,
4.593303107,22.93,46.24139937,361.38,,
2.287952998,30.57,79.12754827,304.96,,
3.623770544,26.08,49.3358465,594.14,,
4.09926745,31.89,46.5599489,603.01,,
5.017766743,39.19,83.46755567,719.19,,
4.892729246,42.29,52.79410878,834.18,,
4.867302332,31.99,48.6681412,589.95,,
4.966944758,50.55,48.71413208,578.28,,
6.657207123,44.66,62.12429034,244.11,,
6.470085823,39.28,72.37660648,548.26,,
4.00007361,41.63,42.50875396,562.292,,
4.852640073,34.53,43.76906849,551.69,,
4.516173072,34.94,49.27095373,541.2,,
5.959342954,30.61,49.20129652,527.901,,
6.319279665,72.08,44.17715919,611.08,,
4.11822683,29.19,46.14837013,581.93,,
4.788048441,34.19,133.2854777,523.22,,
5.707380047,30.53,260.7185539,428.21,,
6.068179443,50.34,87.32203284,599.59,,
3.887487116,42.6,42.90332894,295.07,,
5.227686778,41.99,180.7098853,119.471,,
5.491104802,36.06,98.04272771,424.101,,
